,datadate,tic,adjcp,open,high,low,volume,macd,rsi,cci,adx,pct_cp
1,2010-06-30,TSLA,1.5886670351028442,1.7193330526351929,2.0280001163482666,1.553333044052124,257806500.0,-8.97424343306863e-05,0.0,66.66666666666667,100.0,-0.0025114782580187844
2,2010-07-01,TSLA,1.4639999866485596,1.6666669845581055,1.7280000448226929,1.3513330221176147,123282000.0,-0.003980267386924696,0.0,-37.42696581334756,25.188133345090485,-0.07847273575876412
3,2010-07-02,TSLA,1.2799999713897705,1.5333329439163208,1.5399999618530273,1.24733304977417,77097000.0,-0.01229545862450987,0.0,-104.69511688891022,3.815901442935298,-0.12568307167816883
4,2010-07-06,TSLA,1.0740000009536743,1.3333330154418945,1.3333330154418945,1.0553330183029175,103003500.0,-0.024752171730519912,0.0,-127.58068385225091,22.346586328004353,-0.1609374805004331
5,2010-07-07,TSLA,1.053333044052124,1.0933330059051514,1.108667016029358,0.9986670017242432,103825500.0,-0.03265881827608097,0.0,-113.36029691649253,28.065791890120394,-0.01924297661377916
6,2010-07-08,TSLA,1.1640000343322754,1.0759999752044678,1.1679999828338623,1.0379999876022339,115671000.0,-0.03215348980703192,18.39602608061699,-73.44341439385803,18.312673443905265,0.10506362722128282
7,2010-07-09,TSLA,1.159999966621399,1.1720000505447388,1.1933330297470093,1.1033329963684082,60759000.0,-0.03148790862145834,18.270352656642487,-56.11435353425354,14.338401913729799,-0.0034364841863351314
8,2010-07-12,TSLA,1.136667013168335,1.196666955947876,1.2046669721603394,1.1333329677581787,33037500.0,-0.031705536956292635,17.547003431449966,-49.62304736724713,12.530586355021539,-0.02011461562453598
9,2010-07-13,TSLA,1.2093329429626465,1.1593329906463623,1.2426669597625732,1.1266670227050781,40201500.0,-0.027655662705311723,26.874294631578408,-35.80164499948028,6.495816678906821,0.0639289510054164
10,2010-07-14,TSLA,1.3226670026779175,1.1959999799728394,1.3433330059051514,1.184000015258789,62928000.0,-0.018303374548331197,38.16093911144974,-2.594752482650815,7.544758720889249,0.09371617665324083
11,2010-07-15,TSLA,1.3259999752044678,1.329332947731018,1.4333330392837524,1.2666670083999634,56097000.0,-0.011014648292885676,38.44995233597099,20.345928269130184,17.890658819643644,0.0025198878627819
12,2010-07-16,TSLA,1.3760000467300415,1.3799999952316284,1.4199999570846558,1.3366669416427612,39319500.0,-0.002638605123465032,42.61227717311393,33.842469113016406,17.890658819643633,0.037707445294532294
